analysis_id,study_id,contrast_id,comparison_task,matched_task_names,analysis_name,study_name,authors,publication
TVj4wVA6bJST-bhZAKP7i2EDf,TVj4wVA6bJST,bhZAKP7i2EDf,flanker,Flanker Task,Flanker Effect (Incongruent > Congruent),Neural oscillations underlying selective attention follow sexually divergent developmental trajectories during adolescence,Brittany K. Taylor; Jacob A. Eastman; Michaela R. Frenzel; Christine M. Embury; Yu-ping Wang; V. Calhoun; J. Stephen; T. Wilson,Developmental Cognitive Neuroscience
TVj4wVA6bJST-uWpr428iqQZY,TVj4wVA6bJST,uWpr428iqQZY,flanker,Flanker Task,Flanker Effect: Correlations with Age,Neural oscillations underlying selective attention follow sexually divergent developmental trajectories during adolescence,Brittany K. Taylor; Jacob A. Eastman; Michaela R. Frenzel; Christine M. Embury; Yu-ping Wang; V. Calhoun; J. Stephen; T. Wilson,Developmental Cognitive Neuroscience
UJjRHaw27hv5-UHck7FzTiyVK,UJjRHaw27hv5,UHck7FzTiyVK,flanker,Eriksen-Flanker/GoNogo Task,Main effects of error signaling for incongruent NoGo trials.,The Modulating Effect of Personality Traits on Neural Error Monitoring: Evidence from Event-Related fMRI,Z. Sosic-Vasic; Martin Ulrich; M. Ruchsow; N. Vasic; G. Grön,PLoS ONE
UV4pDDEQ47pu-SqGynMzBpuuj,UV4pDDEQ47pu,SqGynMzBpuuj,flanker,Event-related reaction time flanker task,Autism Group:,Atypical modulation of cognitive control by arousal in autism,G. Dichter; A. Belger,Psychiatry Research: Neuroimaging
UV4pDDEQ47pu-dHqLNtVveaaF,UV4pDDEQ47pu,dHqLNtVveaaF,flanker,Event-related reaction time flanker task,Neurotypical Group:,Atypical modulation of cognitive control by arousal in autism,G. Dichter; A. Belger,Psychiatry Research: Neuroimaging
UexZQagxWZ4i-Am2LqZ9LsUsm,UexZQagxWZ4i,Am2LqZ9LsUsm,flanker,Speeded Flanker Task,2,Greater externalizing personality traits predict less error‐related insula and anterior cingulate cortex activity in acutely abstinent cigarette smokers,A. Carroll; M. Sutherland; B. Salmeron; T. Ross; E. Stein,Addiction Biology
Uqpx8XSBnxsb-hkRcG9zEPaQJ,Uqpx8XSBnxsb,hkRcG9zEPaQJ,flanker,Arrow-version of Eriksen Flanker Task | Eriksen Flanker Task,pone-0136877-t001,Correlating Gray Matter Volume with Individual Difference in the Flanker Interference Effect,Changming Chen; Jiemin Yang; Jiayu Lai; Hong Li; Jiajin Yuan; N. Abbasi,PLoS ONE
VYmEw7M2dbss-5DMnxBQVUwxt,VYmEw7M2dbss,5DMnxBQVUwxt,flanker,Flanker Task,*Irritability-3,Neural and behavioral correlates of inhibitory control in youths with varying levels of irritability.,Michael T. Liuzzi; M. Kryza-Lacombe; I. Christian; Danielle Palumbo; N. Amir; J. Wiggins,Journal of Affective Disorders
VYmEw7M2dbss-AxHVmwa3bedv,VYmEw7M2dbss,AxHVmwa3bedv,flanker,Flanker Task,*Irritability x Congruency-2,Neural and behavioral correlates of inhibitory control in youths with varying levels of irritability.,Michael T. Liuzzi; M. Kryza-Lacombe; I. Christian; Danielle Palumbo; N. Amir; J. Wiggins,Journal of Affective Disorders
VYmEw7M2dbss-J42Ekta49TQY,VYmEw7M2dbss,J42Ekta49TQY,flanker,Flanker Task,*Irritability-2,Neural and behavioral correlates of inhibitory control in youths with varying levels of irritability.,Michael T. Liuzzi; M. Kryza-Lacombe; I. Christian; Danielle Palumbo; N. Amir; J. Wiggins,Journal of Affective Disorders
VYmEw7M2dbss-YxGbUB4WWtYM,VYmEw7M2dbss,YxGbUB4WWtYM,flanker,Flanker Task,*Irritability,Neural and behavioral correlates of inhibitory control in youths with varying levels of irritability.,Michael T. Liuzzi; M. Kryza-Lacombe; I. Christian; Danielle Palumbo; N. Amir; J. Wiggins,Journal of Affective Disorders
VYmEw7M2dbss-dJ48LXEXvnUK,VYmEw7M2dbss,dJ48LXEXvnUK,flanker,Flanker Task,*Irritability x Congruency,Neural and behavioral correlates of inhibitory control in youths with varying levels of irritability.,Michael T. Liuzzi; M. Kryza-Lacombe; I. Christian; Danielle Palumbo; N. Amir; J. Wiggins,Journal of Affective Disorders
VYmEw7M2dbss-sALQrs6gBqP4,VYmEw7M2dbss,sALQrs6gBqP4,flanker,Flanker Task,*Irritability x Congruency-3,Neural and behavioral correlates of inhibitory control in youths with varying levels of irritability.,Michael T. Liuzzi; M. Kryza-Lacombe; I. Christian; Danielle Palumbo; N. Amir; J. Wiggins,Journal of Affective Disorders
Va4wRXk8TDmk-2bMAztncPaFs,Va4wRXk8TDmk,2bMAztncPaFs,flanker,Spatial Addition Task (SAT) | Flanker Task,More positive association between perceived stress and connectivity in Women compared to Men,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-3AVqaJRkotzu,Va4wRXk8TDmk,3AVqaJRkotzu,flanker,Spatial Addition Task (SAT) | Flanker Task,SAT - deactivations-2,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-BXWiorN5WG4p,Va4wRXk8TDmk,BXWiorN5WG4p,flanker,Spatial Addition Task (SAT) | Flanker Task,Correlations,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-HapDeu2oXhau,Va4wRXk8TDmk,HapDeu2oXhau,flanker,Spatial Addition Task (SAT) | Flanker Task,SAT - activations,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-Kgyff9ssB8YW,Va4wRXk8TDmk,Kgyff9ssB8YW,flanker,Spatial Addition Task (SAT) | Flanker Task,Anticorrelations,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-Lg6pqqmhFCA7,Va4wRXk8TDmk,Lg6pqqmhFCA7,flanker,Spatial Addition Task (SAT) | Flanker Task,Men,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-T5owHMxo6LVZ,Va4wRXk8TDmk,T5owHMxo6LVZ,flanker,Spatial Addition Task (SAT) | Flanker Task,Flanker - activations,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-cqpZbg2Hbze8,Va4wRXk8TDmk,cqpZbg2Hbze8,flanker,Spatial Addition Task (SAT) | Flanker Task,More positive association between perceived stress and connectivity in Men compared to Women,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-fVSo4DYegRAJ,Va4wRXk8TDmk,fVSo4DYegRAJ,flanker,Spatial Addition Task (SAT) | Flanker Task,SAT - deactivations,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-tNfNZ2FYk6MX,Va4wRXk8TDmk,tNfNZ2FYk6MX,flanker,Spatial Addition Task (SAT) | Flanker Task,SAT - activations-2,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-uHqHayo7wRxU,Va4wRXk8TDmk,uHqHayo7wRxU,flanker,Spatial Addition Task (SAT) | Flanker Task,Anticorrelations-2,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
Va4wRXk8TDmk-xjXCcC6Sd26H,Va4wRXk8TDmk,xjXCcC6Sd26H,flanker,Spatial Addition Task (SAT) | Flanker Task,Women,"Functional connectivity of resting-state, working memory and inhibition networks in perceived stress",Jo A. Archer; Annie Lee; A. Qiu; S. Annabel Chen,Neurobiology of Stress
W7Di3ytHLPTu-T6KF2cPZxXeC,W7Di3ytHLPTu,T6KF2cPZxXeC,flanker,Eriksen Flanker Task (EFT),Individualized peak activation coordinates of task fMRI within the dACC-Mask,Resting-State fMRI Functional Connectivity Strength Predicts Local Activity Change in the Dorsal Cingulate Cortex: A Multi-Target Focused rTMS Study,Zi-Jian Feng; X. Deng; N. Zhao; Jing Jin; J. Yue; Yun-Song Hu; Ying Jing; Hong-Xiao Wang; T. Knösche; Y. Zang; Jue Wang,Cerebral Cortex
W7Di3ytHLPTu-YsKHeanHftsy,W7Di3ytHLPTu,YsKHeanHftsy,flanker,Eriksen Flanker Task (EFT),Individualized rIPL target coordinates and corresponding r value of FC with the dACC seed,Resting-State fMRI Functional Connectivity Strength Predicts Local Activity Change in the Dorsal Cingulate Cortex: A Multi-Target Focused rTMS Study,Zi-Jian Feng; X. Deng; N. Zhao; Jing Jin; J. Yue; Yun-Song Hu; Ying Jing; Hong-Xiao Wang; T. Knösche; Y. Zang; Jue Wang,Cerebral Cortex
W7Di3ytHLPTu-jCk7Jq6ynLwE,W7Di3ytHLPTu,jCk7Jq6ynLwE,flanker,Eriksen Flanker Task (EFT),Individualized rMFG target coordinates and corresponding r value of FC with the dACC seed,Resting-State fMRI Functional Connectivity Strength Predicts Local Activity Change in the Dorsal Cingulate Cortex: A Multi-Target Focused rTMS Study,Zi-Jian Feng; X. Deng; N. Zhao; Jing Jin; J. Yue; Yun-Song Hu; Ying Jing; Hong-Xiao Wang; T. Knösche; Y. Zang; Jue Wang,Cerebral Cortex
We29JrQbQrzs-TN3ZL4ommcxb,We29JrQbQrzs,TN3ZL4ommcxb,flanker,Flanker Interference Task,Group-by-Response-Type Interaction,Error-Related Brain Activity in Patients With Obsessive-Compulsive Disorder and Unaffected First-Degree Relatives: Evidence for Protective Patterns,Rosa Grützmann; C. Kaufmann; Olga A. Wudarczyk; Luisa Balzus; Julia Klawohn; A. Riesel; K. Bey; M. Wagner; S. Heinzel; N. Kathmann,Biological Psychiatry Global Open Science
We29JrQbQrzs-YzT7VhxzoTaK,We29JrQbQrzs,YzT7VhxzoTaK,flanker,Flanker Interference Task,Conflict > error,Error-Related Brain Activity in Patients With Obsessive-Compulsive Disorder and Unaffected First-Degree Relatives: Evidence for Protective Patterns,Rosa Grützmann; C. Kaufmann; Olga A. Wudarczyk; Luisa Balzus; Julia Klawohn; A. Riesel; K. Bey; M. Wagner; S. Heinzel; N. Kathmann,Biological Psychiatry Global Open Science
We29JrQbQrzs-oFTrbk3jvoeL,We29JrQbQrzs,oFTrbk3jvoeL,flanker,Flanker Interference Task,Error > conflict,Error-Related Brain Activity in Patients With Obsessive-Compulsive Disorder and Unaffected First-Degree Relatives: Evidence for Protective Patterns,Rosa Grützmann; C. Kaufmann; Olga A. Wudarczyk; Luisa Balzus; Julia Klawohn; A. Riesel; K. Bey; M. Wagner; S. Heinzel; N. Kathmann,Biological Psychiatry Global Open Science
WnNkp6VfnFQo-zSxzLbQEhPUL,WnNkp6VfnFQo,zSxzLbQEhPUL,flanker,Verbal Working Memory Task | Spatial Working Memory Task | Go/No-Go Task | Stop Task | Flanker Task,Table 2 Verbal working memory task,"Common and unique components of inhibition and working memory: an fMRI, within-subjects investigation.","McNab F, Leroux G, Strand F, Thorell L, Bergman S, Klingberg T",Neuropsychologia
WqgY8WjgWzB2-kQcAyjZzpuhJ,WqgY8WjgWzB2,kQcAyjZzpuhJ,flanker,Flanker Task,CON < SCZ,Aberrant functional connectivity between the thalamus and visual cortex is related to attentional impairment in schizophrenia,Maeri Yamamoto; I. Kushima; Ryohei Suzuki; A. Branko; N. Kawano; T. Inada; T. Iidaka; N. Ozaki,Psychiatry Research: Neuroimaging
WqgY8WjgWzB2-tfZdLJEtbLUC,WqgY8WjgWzB2,tfZdLJEtbLUC,flanker,Flanker Task,CON > SCZ,Aberrant functional connectivity between the thalamus and visual cortex is related to attentional impairment in schizophrenia,Maeri Yamamoto; I. Kushima; Ryohei Suzuki; A. Branko; N. Kawano; T. Inada; T. Iidaka; N. Ozaki,Psychiatry Research: Neuroimaging
Wz6rhpFm4CHr-QpowCKCX6zAi,Wz6rhpFm4CHr,QpowCKCX6zAi,flanker,Flanker Task,Result of multi voxel pattern analysis (MVPA) in ADHD children (ADHD > TD children).,Altered functional connectivity in children with ADHD while performing cognitive control task,U. Kumar; A. Arya; V. Agarwal,Psychiatry Research: Neuroimaging
Wz6rhpFm4CHr-XxRHg2y9DURa,Wz6rhpFm4CHr,XxRHg2y9DURa,flanker,Flanker Task,Seed-to-voxel functional connectivity analysis in ADHD children in comparison to TD children with the right inferior frontal gyrus as a seed region (ADHD > TD children).,Altered functional connectivity in children with ADHD while performing cognitive control task,U. Kumar; A. Arya; V. Agarwal,Psychiatry Research: Neuroimaging
Wz6rhpFm4CHr-cx9k2tz8iq7H,Wz6rhpFm4CHr,cx9k2tz8iq7H,flanker,Flanker Task,Seed-to-voxel functional connectivity analysis in ADHD children in comparison to TD children with the right supplementary motor area as a seed region (ADHD > TD children).,Altered functional connectivity in children with ADHD while performing cognitive control task,U. Kumar; A. Arya; V. Agarwal,Psychiatry Research: Neuroimaging
Wz6rhpFm4CHr-ehYTNuxYS99T,Wz6rhpFm4CHr,ehYTNuxYS99T,flanker,Flanker Task,Seed-to-voxel functional connectivity analysis in ADHD children in comparison to TD children with the left cerebellum as a seed region (ADHD > TD children).,Altered functional connectivity in children with ADHD while performing cognitive control task,U. Kumar; A. Arya; V. Agarwal,Psychiatry Research: Neuroimaging
YUN4vFwo8WG8-3zZjAhHaE5fB,YUN4vFwo8WG8,3zZjAhHaE5fB,flanker,Eriksen Flanker Task,T1,Effects of Alcohol Intoxication on Response Conflict in a Flanker Task,"Marinkovic, Ksenija;Rickenbacher, Elizabeth;Azma, Sheeva",Journal of addiction research & therapy
ZAhUxT5UvjTM-AwVb7svmLcas,ZAhUxT5UvjTM,AwVb7svmLcas,flanker,Eriksen Flanker Task,Negative effect “stay < switch”,How to improve parameter estimates in GLM-based fMRI data analysis: cross-validated Bayesian model averaging.,Joram Soch; Achim Pascal Meyer; John-Dylan Haynes; Carsten Allefeld,NeuroImage
ZAhUxT5UvjTM-YwzpRyzDkMuc,ZAhUxT5UvjTM,YwzpRyzDkMuc,flanker,Eriksen Flanker Task,Main effect “stay ≠ switch”,How to improve parameter estimates in GLM-based fMRI data analysis: cross-validated Bayesian model averaging.,Joram Soch; Achim Pascal Meyer; John-Dylan Haynes; Carsten Allefeld,NeuroImage
Zfay9kNJhkWd-U2FeUgtEjeNr,Zfay9kNJhkWd,U2FeUgtEjeNr,flanker,Stop-Signal Task | Flanker Task,Table 3,Correlation between brain function and ADHD symptom changes in children with ADHD following a few-foods diet: an open-label intervention trial,"Hontelez, Saartje; Stobernack, Tim; Pelsser, Lidy M.; van Baarlen, Peter; Frankena, Klaas; Groefsema, Martine M.; Kleerebezem, Michiel; Rodrigues Pereira, Rob; Postma, Elbrich M.; Smeets, Paul A. M.; Stopyra, Marion A.; Zwiers, Marcel P.; Aarts, Esther",Sci Rep
ZwcBjwMwVaGC-4XUxyessU7Ww,ZwcBjwMwVaGC,4XUxyessU7Ww,flanker,Combined Flanker and Simon Task,(a) Flanker conflict: FiSc,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-5cWCp45xCrDS,ZwcBjwMwVaGC,5cWCp45xCrDS,flanker,Combined Flanker and Simon Task,(b) FcSi > FcSc,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-8V6cFJPjDFFK,ZwcBjwMwVaGC,8V6cFJPjDFFK,flanker,Combined Flanker and Simon Task,(a) FiSc > FcSc,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-BkBmoM9Z3dFa,ZwcBjwMwVaGC,BkBmoM9Z3dFa,flanker,Combined Flanker and Simon Task,(b) Simon conflict: FcSi,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-NrKQnDv5WWKi,ZwcBjwMwVaGC,NrKQnDv5WWKi,flanker,Combined Flanker and Simon Task,(c) FcSc > FcSi,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-TZJPat3Nqwcm,ZwcBjwMwVaGC,TZJPat3Nqwcm,flanker,Combined Flanker and Simon Task,t0005,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-Zyqu4zek7R9B,ZwcBjwMwVaGC,Zyqu4zek7R9B,flanker,Combined Flanker and Simon Task,(d) FiSi > FcSc,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ZwcBjwMwVaGC-oeubtVfKCbir,ZwcBjwMwVaGC,oeubtVfKCbir,flanker,Combined Flanker and Simon Task,(c) Flanker+Simon conflict: FiSi,Spatio-temporal brain dynamics in a combined stimulus–stimulus and stimulus–response conflict task,S. Frühholz; B. Godde; Mareike Finke; M. Herrmann,NeuroImage
ae4JFn63LFLc-3vL46xUC6Tgn,ae4JFn63LFLc,3vL46xUC6Tgn,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONTRAST: NON-EMOTIONAL VERBAL > NON-EMOTIONAL SPATIAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-8uiL48KdUrRu,ae4JFn63LFLc,8uiL48KdUrRu,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONTRAST: NON-EMOTIONAL SPATIAL > NON-EMOTIONAL VERBAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-A49fZUZB59MW,ae4JFn63LFLc,A49fZUZB59MW,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,NON-EMOTIONAL VERBAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-AKBiniVRqFPg,ae4JFn63LFLc,AKBiniVRqFPg,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONTRAST: NON-EMOTIONAL SPATIAL > EMOTIONAL VERBAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-ATCQiYsetfJG,ae4JFn63LFLc,ATCQiYsetfJG,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONTRAST: NON-EMOTIONAL VERBAL > EMOTIONAL VERBAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-HiLNrKqsAgNo,ae4JFn63LFLc,HiLNrKqsAgNo,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONTRAST: EMOTIONAL VERBAL > NON-EMOTIONAL SPATIAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-KXAKxqPLeUQZ,ae4JFn63LFLc,KXAKxqPLeUQZ,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,NON-EMOTIONAL SPATIAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-T5Y7q822UEEp,ae4JFn63LFLc,T5Y7q822UEEp,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONJUNCTION: EMOTIONAL VERBAL AND NON-EMOTIONAL SPATIAL/CONJUCNTION: THE THREE DOMAINS,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-WjvrDwza9ZVA,ae4JFn63LFLc,WjvrDwza9ZVA,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONJUNCTION: NON-EMOTIONAL VERBAL AND NON-EMOTIONAL SPATIAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-sESf3aoFYjAi,ae4JFn63LFLc,sESf3aoFYjAi,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,CONJUNCTION: EMOTIONAL VERBAL AND NON-EMOTIONAL VERBAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
ae4JFn63LFLc-x4H7scUoWPGb,ae4JFn63LFLc,x4H7scUoWPGb,flanker,Face-word conflict task | Color-word Stroop task | Simon task | SRC task | Flanker task,EMOTIONAL VERBAL,Neural Systems Underlying Emotional and Non-emotional Interference Processing: An ALE Meta-Analysis of Functional Neuroimaging Studies,Min Xu; Guiping Xu; Yang Yang,Frontiers in Behavioral Neuroscience
aymzHWJeyjHx-2bheedNECfm2,aymzHWJeyjHx,2bheedNECfm2,flanker,Modified Eriksen Flanker Task,HC-4,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-4kQH2b3i7LZc,aymzHWJeyjHx,4kQH2b3i7LZc,flanker,Modified Eriksen Flanker Task,INTERACTION EMOTION CONGRUENCY,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-GHxytBoqJZhe,aymzHWJeyjHx,GHxytBoqJZhe,flanker,Modified Eriksen Flanker Task,EMOTION,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-YsdujozbBgJm,aymzHWJeyjHx,YsdujozbBgJm,flanker,Modified Eriksen Flanker Task,CONGRUENCY,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-b8WHtjY6tXh8,aymzHWJeyjHx,b8WHtjY6tXh8,flanker,Modified Eriksen Flanker Task,BPD-4,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-ia6hNA6B5URR,aymzHWJeyjHx,ia6hNA6B5URR,flanker,Modified Eriksen Flanker Task,HC-3,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-sAXqAY5eYpcb,aymzHWJeyjHx,sAXqAY5eYpcb,flanker,Modified Eriksen Flanker Task,HC-2,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-uotm24X7wQxq,aymzHWJeyjHx,uotm24X7wQxq,flanker,Modified Eriksen Flanker Task,BPD-2,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-yHKrcvxGfkVK,aymzHWJeyjHx,yHKrcvxGfkVK,flanker,Modified Eriksen Flanker Task,BPD,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-yjvGP8q3jpon,aymzHWJeyjHx,yjvGP8q3jpon,flanker,Modified Eriksen Flanker Task,BPD-3,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
aymzHWJeyjHx-yrseVhvjZEtL,aymzHWJeyjHx,yrseVhvjZEtL,flanker,Modified Eriksen Flanker Task,HC,Trait anxiety modulates fronto-limbic processing of emotional interference in borderline personality disorder,Jana Holtmann; Maike C. Herbort; T. Wüstenberg; Joram Soch; Sylvia Richter; H. Walter; S. Roepke; B. Schott,Frontiers in Human Neuroscience
b6XaX5xqJi3a-ABcQuNrsHtCa,b6XaX5xqJi3a,ABcQuNrsHtCa,flanker,Incentive Flanker Task,CONTROL-2,Hyperactive Error Responses and Altered Connectivity in Ventromedial and Frontoinsular Cortices in Obsessive-Compulsive Disorder,E. Stern; R. Welsh; K. Fitzgerald; W. Gehring; Jamey J. Lister; J. Himle; J. Abelson; S. Taylor,Biological Psychiatry
b6XaX5xqJi3a-GsR4rGEVbJbB,b6XaX5xqJi3a,GsR4rGEVbJbB,flanker,Incentive Flanker Task,OCD-2,Hyperactive Error Responses and Altered Connectivity in Ventromedial and Frontoinsular Cortices in Obsessive-Compulsive Disorder,E. Stern; R. Welsh; K. Fitzgerald; W. Gehring; Jamey J. Lister; J. Himle; J. Abelson; S. Taylor,Biological Psychiatry
